,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
325,chechat,6,IN,1573865058,50,24.77,75.88,292.49,1.13
326,mandalgovi,100,MN,1573864863,32,45.76,106.27,270.91,7.19
327,rio gallegos,40,AR,1573865058,62,-51.62,-69.22,284.15,3.1
328,marzuq,0,YE,1573865058,74,14.4,46.47,289.93,1.33
329,corinto,75,CO,1573865058,78,3.17,-76.26,296.15,3.6
330,prado,76,CO,1573865058,79,3.75,-74.93,295.22,1.54
331,grants pass,90,US,1573864931,77,42.44,-123.33,288.15,1.25
332,vanimo,98,PG,1573865059,78,-2.67,141.3,300.81,2.41
333,tura,40,RU,1573864688,100,64.27,100.22,239.04,0.33
334,sept-iles,75,CA,1573865000,100,50.2,-66.38,270.93,2.1
335,sibolga,84,ID,1573864824,95,1.74,98.78,294.93,1.13
336,gidole,0,ET,1573865059,81,5.65,37.37,290.75,0.28
337,poya,26,NC,1573865059,71,-21.35,165.16,296.1,5.04
338,westport,1,US,1573864658,45,41.14,-73.36,282.15,6.25
339,ozernovskiy,74,RU,1573865059,59,51.5,156.52,272.2,9.87
340,port macquarie,40,AU,1573865060,44,-31.43,152.91,300.93,5.7
341,kuruman,0,ZA,1573864813,33,-27.46,23.43,290.93,3.65
342,saint anthony,20,US,1573865060,45,43.97,-111.68,284.26,1.79
343,poplar bluff,1,US,1573865060,65,36.76,-90.39,278.15,1.72
344,daura,11,NG,1573865060,21,13.04,8.32,298.72,3.73
345,manzhouli,0,CN,1573864810,72,49.6,117.43,256.43,2.35
346,sangar,95,RU,1573864856,99,63.92,127.47,244.76,1.83
347,yulara,0,AU,1573864789,13,-25.24,130.99,302.15,7.2
348,monkey bay,71,MW,1573865061,68,-14.08,34.91,302.01,1.24
349,henties bay,25,NA,1573865061,91,-22.12,14.28,288.71,2.24
350,nelson bay,75,AU,1573864922,53,-32.72,152.14,295.93,4.6
351,along,2,IN,1573865061,88,28.17,94.8,288.1,1.47
352,dikson,0,RU,1573864803,91,73.51,80.55,254.52,3.06
353,kutum,17,SD,1573864851,37,14.2,24.66,294.16,3.11
354,mayo,90,CA,1573865061,65,63.59,-135.9,257.15,5.7
355,yeppoon,0,AU,1573864785,48,-23.13,150.74,302.15,2.6
356,fare,59,PF,1573864863,82,-16.7,-151.02,299.47,8.28
357,los llanos de aridane,40,ES,1573865062,68,28.66,-17.92,292.15,7.7
358,zhangye,98,CN,1573865062,24,38.94,100.46,275.9,2.88
359,baherden,100,TM,1573865062,56,38.44,57.43,280.61,1.7
360,novyy urengoy,100,RU,1573865062,93,66.08,76.63,251.19,8.39
361,soyo,100,AO,1573865062,85,-6.13,12.37,299.3,1.4
362,puerto baquerizo moreno,75,EC,1573865062,83,-0.9,-89.6,295.15,4.6
363,caravelas,72,BR,1573864770,86,-17.73,-39.27,296.64,4.26
364,taoudenni,62,ML,1573865062,18,22.68,-3.98,296.47,5.31
365,goianesia,82,BR,1573865063,86,-15.32,-49.12,294.67,1.66
366,tabatinga,50,BR,1573865063,73,-21.74,-48.69,297.15,1.0
367,yerbogachen,100,RU,1573864877,94,61.28,108.01,243.47,1.24
368,healesville,40,AU,1573865063,41,-37.65,145.52,290.93,5.1
369,quang ngai,81,VN,1573865063,84,15.12,108.8,297.83,2.24
370,teguise,40,ES,1573865063,68,29.06,-13.56,291.15,6.7
371,batemans bay,96,AU,1573865064,60,-35.71,150.18,293.15,2.24
372,traralgon,90,AU,1573865064,59,-38.19,146.54,288.15,2.68
373,ahipara,1,NZ,1573864800,85,-35.17,173.16,290.23,5.75
374,dera bugti,0,PK,1573865064,65,29.03,69.15,289.47,0.9
375,azanka,100,RU,1573865064,94,58.04,64.79,268.59,4.24
376,vangaindrano,100,MG,1573865064,98,-23.35,47.6,294.8,0.65
377,balikpapan,82,ID,1573865064,92,-1.24,116.86,298.92,1.04
378,bin qirdan,100,TN,1573865064,29,33.14,11.22,291.99,6.82
379,vestmanna,100,FO,1573864853,69,62.16,-7.17,276.15,4.6
380,mount pleasant,1,US,1573864977,71,33.16,-94.97,283.15,0.53
381,mahibadhoo,100,MV,1573865065,82,3.78,72.97,299.8,3.8
382,klaksvik,100,FO,1573864856,69,62.23,-6.59,276.15,4.6
383,kalabo,92,ZM,1573865065,81,-15.0,22.67,295.29,2.39
384,sao gabriel da cachoeira,100,BR,1573865065,90,-0.13,-67.09,297.34,0.6
